id,terrestrial_date,sol,ls,month,min_temp,pressure
2,2012-08-16,10,155,6,-75,739
13,2012-08-17,11,156,6,-76,740
24,2012-08-18,12,156,6,-76,741
35,2012-08-19,13,157,6,-74,732
46,2012-08-20,14,157,6,-74,740
57,2012-08-21,15,158,6,-78,740
68,2012-08-22,16,158,6,-77,740
79,2012-08-23,17,159,6,-76,742
112,2012-08-27,21,161,6,-74,741
114,2012-08-28,22,162,6,-74,742
123,2012-08-29,23,162,6,-75,741
134,2012-08-30,24,163,6,-75,742
145,2012-08-31,25,163,6,-75,743
156,2012-09-01,26,164,6,-76,745
163,2012-09-02,27,164,6,-75,743
170,2012-09-03,28,165,6,-75,745
171,2012-09-04,29,166,6,-75,747
172,2012-09-05,30,166,6,-74,747
173,2012-09-06,31,167,6,-74,745
175,2012-09-08,33,168,6,-73,748
176,2012-09-10,34,168,6,-73,748
177,2012-09-11,35,169,6,-73,749
178,2012-09-12,36,169,6,-73,750
179,2012-09-13,37,170,6,-73,750
180,2012-09-14,38,171,6,-73,750
181,2012-09-15,39,171,6,-75,751
182,2012-09-16,40,172,6,-75,753
183,2012-09-17,41,172,6,-75,753
184,2012-09-18,42,173,6,-75,754
185,2012-09-19,43,173,6,-74,756
186,2012-09-20,44,174,6,-75,757
187,2012-09-21,45,175,6,-74,758
188,2012-09-22,46,175,6,-74,758
189,2012-09-23,47,176,6,-75,758
190,2012-09-24,48,176,6,-75,759
191,2012-09-25,49,177,6,-74,761
192,2012-09-26,50,177,6,-72,761
193,2012-09-27,51,178,6,-76,762
194,2012-09-28,52,179,6,-74,762
195,2012-09-29,53,179,6,-71,764
196,2012-09-30,54,180,7,-72,766
197,2012-10-01,55,180,7,-74,766
198,2012-10-02,56,181,7,-73,768
199,2012-10-03,57,181,7,-73,769
200,2012-10-04,58,182,7,-74,769
201,2012-10-05,59,183,7,-76,771
202,2012-10-06,60,183,7,-75,772
203,2012-10-07,61,184,7,-72,772
204,2012-10-08,62,184,7,-72,774
205,2012-10-09,63,185,7,-73,775
206,2012-10-10,64,186,7,-74,776
207,2012-10-11,65,186,7,-72,777
208,2012-10-12,66,187,7,-73,778
209,2012-10-13,67,187,7,-73,780
210,2012-10-14,68,188,7,-71,781
211,2012-10-15,69,189,7,-73,778
212,2012-10-17,70,189,7,-72,783
213,2012-10-18,71,190,7,-71,784
214,2012-10-19,72,190,7,-73,785
215,2012-10-20,73,191,7,-70,788
216,2012-10-21,74,192,7,-72,790
217,2012-10-22,75,192,7,-73,791
218,2012-10-23,76,193,7,-73,792
219,2012-10-24,77,193,7,-71,792
220,2012-10-25,78,194,7,-71,793
221,2012-10-26,79,195,7,-73,795
222,2012-10-27,80,195,7,-70,796
223,2012-10-28,81,196,7,-72,798
224,2012-10-29,82,196,7,-72,799
225,2012-10-30,83,197,7,-72,801
226,2012-10-31,84,198,7,-70,801
227,2012-11-01,85,198,7,-71,805
228,2012-11-02,86,199,7,-71,808
229,2012-11-03,87,199,7,-70,808
230,2012-11-04,88,200,7,-70,811
231,2012-11-05,89,201,7,-73,813
233,2012-11-06,90,201,7,-71,813
234,2012-11-07,91,202,7,-74,817
235,2012-11-08,92,202,7,-74,820
236,2012-11-09,93,203,7,-72,819
237,2012-11-10,94,204,7,-70,822
238,2012-11-11,95,204,7,-68,822
239,2012-11-12,96,205,7,-71,826
240,2012-11-13,97,206,7,-68,828
241,2012-11-14,98,206,7,-68,828
242,2012-11-15,99,207,7,-68,829
3,2012-11-16,100,207,7,-66,829
4,2012-11-17,101,208,7,-65,830
5,2012-11-18,102,209,7,-67,833
6,2012-11-19,103,209,7,-66,836
7,2012-11-20,104,210,8,-67,838
8,2012-11-21,105,211,8,-66,839
9,2012-11-23,106,211,8,-66,841
10,2012-11-24,107,212,8,-66,844
11,2012-11-25,108,212,8,-65,845
12,2012-11-26,109,213,8,-64,844
14,2012-11-27,110,214,8,-65,848
15,2012-11-28,111,214,8,-66,849
16,2012-11-29,112,215,8,-65,852
17,2012-11-30,113,216,8,-66,857
18,2012-12-01,114,216,8,-69,857
19,2012-12-02,115,217,8,-66,857
20,2012-12-03,116,217,8,-67,859
21,2012-12-04,117,218,8,-66,861
22,2012-12-05,118,219,8,-65,864
23,2012-12-06,119,219,8,-66,866
25,2012-12-07,120,220,8,-67,867
26,2012-12-08,121,221,8,-66,869
27,2012-12-09,122,221,8,-65,869
28,2012-12-10,123,222,8,-66,875
29,2012-12-11,124,223,8,-66,876
30,2012-12-12,125,223,8,-68,880
31,2012-12-13,126,224,8,-66,880
32,2012-12-14,127,224,8,-67,884
33,2012-12-15,128,225,8,-67,883
34,2012-12-16,129,226,8,-65,886
36,2012-12-17,130,226,8,-65,888
37,2012-12-18,131,227,8,-65,889
38,2012-12-19,132,228,8,-65,890
39,2012-12-20,133,228,8,-65,891
40,2012-12-21,134,229,8,-67,893
41,2012-12-22,135,230,8,-65,894
42,2012-12-23,136,230,8,-65,897
43,2012-12-24,137,231,8,-64,896
44,2012-12-25,138,232,8,-65,899
45,2012-12-26,139,232,8,-66,899
47,2012-12-27,140,233,8,-66,903
48,2012-12-28,141,233,8,-64,904
49,2012-12-29,142,234,8,-65,906
50,2012-12-31,143,235,8,-63,908
51,2013-01-01,144,235,8,-64,907
52,2013-01-02,145,236,8,-64,909
53,2013-01-03,146,237,8,-65,908
54,2013-01-04,147,237,8,-65,914
55,2013-01-05,148,238,8,-65,912
56,2013-01-06,149,239,8,-65,914
58,2013-01-07,150,239,8,-64,913
59,2013-01-08,151,240,9,-65,915
60,2013-01-09,152,241,9,-63,914
61,2013-01-10,153,241,9,-65,915
62,2013-01-11,154,242,9,-65,917
63,2013-01-12,155,243,9,-64,917
64,2013-01-13,156,243,9,-65,922
65,2013-01-14,157,244,9,-64,920
66,2013-01-15,158,245,9,-66,922
67,2013-01-16,159,245,9,-65,918
69,2013-01-17,160,246,9,-67,919
70,2013-01-18,161,246,9,-65,919
71,2013-01-19,162,247,9,-65,919
72,2013-01-20,163,248,9,-65,919
73,2013-01-21,164,248,9,-64,919
74,2013-01-22,165,249,9,-65,922
75,2013-01-23,166,250,9,-65,922
76,2013-01-24,167,250,9,-65,920
77,2013-01-25,168,251,9,-66,923
78,2013-01-26,169,252,9,-66,922
80,2013-01-27,170,252,9,-66,925
81,2013-01-28,171,253,9,-67,925
82,2013-01-29,172,254,9,-67,923
83,2013-01-30,173,254,9,-67,920
84,2013-01-31,174,255,9,-67,921
85,2013-02-01,175,256,9,-68,921
86,2013-02-02,176,256,9,-67,920
87,2013-02-03,177,257,9,-66,921
88,2013-02-04,178,258,9,-66,920
89,2013-02-06,179,258,9,-66,920
91,2013-02-07,180,259,9,-67,919
92,2013-02-08,181,260,9,-67,918
93,2013-02-09,182,260,9,-67,921
94,2013-02-10,183,261,9,-67,921
95,2013-02-11,184,261,9,-67,923
96,2013-02-12,185,262,9,-67,923
97,2013-02-13,186,263,9,-66,922
98,2013-02-14,187,263,9,-67,921
99,2013-02-15,188,264,9,-68,920
100,2013-02-16,189,265,9,-68,920
102,2013-02-17,190,265,9,-66,917
103,2013-02-18,191,266,9,-67,921
106,2013-02-23,196,269,9,-66,916
107,2013-02-24,197,270,10,-68,915
108,2013-02-25,198,271,10,-67,914
109,2013-02-26,199,271,10,-66,917
116,2013-03-23,223,287,10,-71,895
117,2013-03-24,224,287,10,-69,894
118,2013-03-25,225,288,10,-71,894
119,2013-03-26,226,288,10,-70,894
120,2013-03-27,227,289,10,-70,892
121,2013-03-28,228,290,10,-71,894
122,2013-03-29,229,290,10,-69,894
124,2013-03-30,230,291,10,-69,888
125,2013-03-31,231,292,10,-71,890
126,2013-04-01,232,292,10,-69,888
127,2013-04-02,233,293,10,-69,889
128,2013-04-03,234,293,10,-69,890
129,2013-04-04,235,294,10,-70,886
130,2013-04-05,236,295,10,-72,886
131,2013-04-06,237,295,10,-71,883
132,2013-04-07,238,296,10,-70,885
133,2013-04-08,239,297,10,-73,885
135,2013-04-09,240,297,10,-70,884
136,2013-04-10,241,298,10,-72,884
137,2013-04-11,242,298,10,-70,881
138,2013-04-12,243,299,10,-71,884
139,2013-04-13,244,300,11,-69,878
140,2013-04-14,245,300,11,-70,879
141,2013-04-15,246,301,11,-73,878
142,2013-04-16,247,301,11,-71,873
143,2013-04-17,248,302,11,-70,877
144,2013-04-18,249,303,11,-69,873
146,2013-04-19,250,303,11,-70,877
147,2013-04-20,251,304,11,-71,876
148,2013-04-22,252,304,11,-71,874
149,2013-04-23,253,305,11,-71,877
